timestamp,mem_used,mem_total,power_watts,gpu_util,temperature,fan_speed,core_clock,memory_clock,pcie_rx_MB,pcie_tx_MB,latency_ms
2025-12-07 18:27:20,3.97,4.00,49.01,100,65,0,1770,6000,0,0,0.00
2025-12-07 18:27:20,3.97,4.00,49.17,100,65,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.23,100,65,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.34,100,65,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.37,100,65,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.28,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.44,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.44,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.51,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.38,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.40,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.65,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:21,3.97,4.00,49.42,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,49.27,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,49.34,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,49.27,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,48.96,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,49.38,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,49.44,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,49.12,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,49.17,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,49.19,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,49.22,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:22,3.97,4.00,49.22,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:23,3.97,4.00,49.29,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:23,3.97,4.00,49.43,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:23,3.97,4.00,49.58,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:23,3.97,4.00,49.18,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:23,3.97,4.00,49.44,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:23,3.97,4.00,49.56,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:23,3.97,4.00,49.37,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:23,3.97,4.00,49.35,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:23,3.97,4.00,49.28,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:23,3.97,4.00,49.10,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,48.94,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,49.38,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,49.39,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,49.24,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,49.24,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,49.49,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,49.40,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,49.27,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,49.31,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,49.45,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:24,3.97,4.00,49.47,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:25,3.97,4.00,49.49,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:25,3.97,4.00,49.42,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:25,3.97,4.00,49.51,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:25,3.97,4.00,49.31,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:25,3.97,4.00,49.35,100,66,32767,1770,6000,0,0,0.00
2025-12-07 18:27:25,3.97,4.00,49.53,100,67,32767,1770,6000,0,0,0.00
2025-12-07 18:27:25,3.97,4.00,49.44,100,67,32767,1770,6000,0,0,0.00
2025-12-07 18:27:25,3.97,4.00,49.40,100,67,32767,1770,6000,0,0,0.00
2025-12-07 18:27:25,3.97,4.00,49.60,100,67,32767,1770,6000,0,0,0.00
2025-12-07 18:27:25,3.97,4.00,49.49,100,67,32767,1770,6000,0,0,0.00
2025-12-07 18:27:26,3.97,4.00,49.49,100,67,32767,1770,6000,0,0,0.00
2025-12-07 18:27:26,3.97,4.00,49.43,100,67,32767,1770,6000,0,0,0.00
2025-12-07 18:27:26,3.97,4.00,49.53,100,67,32767,1770,6000,0,0,0.00
2025-12-07 18:27:26,3.97,4.00,49.66,100,67,32767,1770,6000,0,0,0.00
2025-12-07 18:27:26,3.97,4.00,49.25,100,67,32767,1770,6000,0,0,0.00
